municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
MACEIO;1;1;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;41;54;5177;DAVID CABRAL DAVINO;PP;540;10.43;85.88;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;1;2;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;16;102;2981;ROGERIO PEREIRA MELO;MDB;355;11.91;66.6;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;2;3;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;16;96;3022;ROGERIO PEREIRA MELO;MDB;292;9.66;65.23;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;3;4;ESCOLA PROFESSORA IZAURA ANTÔNIA LISBOA;RUA ANTÔNIO MARROQUIM S/N;-9.7479462;-36.6693345;Baixão;;ENCONTRADO;14;96;2506;ROGERIO PEREIRA MELO;MDB;212;8.46;59.27;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;4;5;ESCOLA AURINO MACIEL;RUA DOM FELÍCIO VASCONCELOS,S/N;-9.7453734;-36.6648859;Centro;;ENCONTRADO;12;92;2264;ROGERIO PEREIRA MELO;MDB;234;10.34;54.78;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
MACEIO;2;6;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;18;48;3182;MARIA DE FÁTIMA GALINA FORTES FERREIRA SANTIAGO;MDB;383;12.04;53.63;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;5;7;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;12;96;1916;ROGERIO PEREIRA MELO;MDB;160;8.35;52.59;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
UNIAO DOS PALMARES;1;8;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;16;56;2887;CARLOS ALBERTO CORREIA BASILIO;MDB;314;10.88;52.16;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
RIO LARGO;1;9;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;16;55;2868;MÁRCIO SOARES CAVALCANTE;PP;278;9.69;51.68;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;6;10;COLÉGIO SÃO FRANCISCO DE ASSIS;RUA DOM FELÍCIO DE VASCONCELOS S/N;-9.7445436;-36.659204;Senador Teotônio Vilela;;ENCONTRADO;11;91;1906;ROGERIO PEREIRA MELO;MDB;220;11.54;50.54;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
ARAPIRACA;7;11;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;10;91;1908;WALLYSSON BISPO DA SILVA;PP;182;9.54;50.07;PRIORIDADE MÁXIMA;AGENDA IMEDIATA
